state,homeStatus,bedrooms,bathrooms,price,yearBuilt,lotSize,propertyTaxRate,description,propertyTypeDimension
ME,FOR_SALE,4.0,4.0,939000,2019,114127.0,0.97,"This impressive custom cape offers a serene, private setting and a wealth of features. The open-concept first floor showcases gorgeous hardwood floors, 9' ceilings, and an electric fireplace, complemented by custom trim and built-ins. The kitchen boasts beautiful granite countertops, enhancing both functionality and style. The first floor also includes a versatile office/media room, a full bath, and a convenient laundry area.

Upstairs, you'll find three spacious bedrooms and two full baths, providing ample room for family and guests. Above the garage, a one-bedroom, one-bath accessory apartment with a separate entrance generates a monthly rental income. This unit features its own on-demand hot water heater and  high-efficiency heat pump's, ensuring comfort and efficiency.

The main home is equipped with a top-of-the-line Bosch boiler and a heat pump, providing exceptional heating and cooling throughout. The oversized heated three-car garage offers extensive storage space, while the basement, already insulated, provides potential for additional rooms or personalized expansion. With these premium features and systems, this home is truly a must-see.",Multi Family
IA,FOR_SALE,3.0,5.0,864700,2024,5227.0,1.57,"This newly constructed 3-plex offers an excellent investment opportunity with three well-designed, 1,645 SF units. Each 2-story unit includes 3 bedrooms, 2.5 baths, and an attached 2-car garage. The main floor features an open layout with Quartz countertops, tile backsplash, island, corner pantry, stainless steel appliances, and luxury vinyl plank flooring. Upstairs, enjoy a spacious primary suite with private bath and walk-in closet, two additional bedrooms, full bath, and laundry. The property includes private patios, backyard space, and low HOA dues of $165/month covering snow removal, lawn care, exterior maintenance, and insurance. A 5-year partial tax abatement further supports cash flow, and CenturyLink internet is ready for tenant setup. Seller is also willing to secure tenants and rent out units if the buyer prefers—a comparable unit is currently leasing for $2,050/month. Contact us for more details.",Multi Family
IA,FOR_SALE,3.0,2.0,415000,2022,6969.0,1.0,"Hidden Oak’s offers luxury 3 bedroom 2 bath duplex residences with community amenities that appeal to both primary and secondary home owners. Enjoy hassle free ownership with HOA provided snow & lawn care, plus amenities including a future walking trail, clubhouse & pool. The Hidden Oaks community is a quiet neighborhood just off the beaten path, yet close to golfing, walking & biking trails, shopping, dining, public lake access, and other attractions. Built by Groen Construction these residences speak to quality with standard finishes including; 9’ walls, granite / quartz countertops, upgraded cabinets & included kitchen appliance package, premium flooring, solid core doors, Onyx shower w/ shower door, stabilized cellulose insulation, Malarky Shingles, Gerkin casement windows, and are “in-floor heat” ready. Schedule your tour to Hidden Oaks, choose from 3 interior and 3 exterior style options, customize your purchase to your wants, needs, and taste!",Multi Family
IA,FOR_SALE,2.0,1.0,220000,2023,11761.0,1.4,"New construction, South duplex unit (311) with attached single-car garage in the town of Panora. Spacious open concept living/kitchen area with 2 bedrooms and 2 baths. Large storage closet and in unit laundry. Concrete patio with large back yard. Region XII funding may be available to assist in purchasing the property. Taxes are not able to be estimated at this time.",Multi Family
IA,FOR_SALE,5.0,5.0,1439000,2024,10018.0,1.0,"Summer Living at its finest on East Lake Okoboji!! This brand new townhome offers impeccable views of the Elinor Bedell State Park directly across East Lake. This 5 bed, 5 bath two-story home with a walkout lower level is a 3,600SF dream home for many seasons to come. Capture picturesque views of the lake from the main level open floor plan that includes a great room, large balcony, fireplace, dining area, and kitchen with high-end KitchenAid appliances and 8' island with additional seating. The main floor bedroom has a full bath, accessible from main living space, with custom tile floor and glass shower. The upper level of this home features a vaulted primary bedroom with stunning lake views, a large walk-in closet, and custom tile bath with dual vanities and glass shower. A second ensuite bedroom with a large walk-in closet, bath with custom tile and glass shower, and a laundry room complete the upper level. The large walkout lower level of the home is ideal for entertaining with full wet bar, panoramic lake views, and an outdoor patio space which leads to a fully landscaped yard, zero steps to the dock. The lower level of this home also has two more bedrooms with large shared bath with shower/tub, custom tile floor, and a second laundry room perfectly suited for lake life coming in off the boat. This energy efficient home features two furnaces and two air-conditioners to provide comfortable heating and cooling for every season of the year. The attached 2-car garage is heated. Gain peace of mind knowing that water has never entered the home.",Multi Family
IA,FOR_SALE,2.0,2.0,299900,2024,,1.67,"This ranch layout features tray ceilings, spacious bedrooms, open great room, and not only a covered from porch, but a covered rear patio as well. The lower level, if finished, offers an enormous rec room, additional bedroom, and bathroom.",Multi Family
IA,FOR_SALE,4.0,4.0,719900,2022,5662.0,1.57,"One-story duplex, nestled in the coveted Silver Estates of Norwalk. Boasting a distinctive facade with front porches and unique aesthetics for each unit. Each of the two units features 2 bedrooms and 2 bathrooms. Unit 112 offers 1,305 SF of finished space on the main level, while Unit 113 impresses with 1,385 SF of finish (plus unfinished lower levels). Step inside to an inviting open layout, where the kitchen takes center stage. Revel in stylish cabinets, a chic tile backsplash, an island with Quartz countertops, a convenient corner pantry, stainless steel appliances, and luxurious maintenance-free vinyl plank flooring. Cozy up to the gas fireplace, adding warmth and charm to the living space. The primary bedroom suite is a retreat of its own, featuring a private bath with a tile shower, dual vanity, and spacious walk-in closets. Additional highlights include an unfinished basement, a dedicated laundry room, a covered deck, and a 2-car attached garage. As part of Silver Estates, HOA dues cover snow removal, lawn care, exterior maintenance, and exterior insurance, ensuring a hassle-free lifestyle. Benefit from a partial tax abatement, making this duplex a wise investment. Currently both units are rented to tenants, it presents a fantastic opportunity for owner-occupation or continued rental income. Don't miss your chance to seize this great opportunity for modern living in a thriving community!",Multi Family
IA,FOR_SALE,2.0,2.0,279900,2024,,1.67,"The third of three variations of our Rear Load Ranch plan features a huge great room area with tray ceilings, open kitchen and dining, spacious front porch, rear and side patio, large 1st floor laundry, primary suite with walk-in closet and double vanity, spare bedroom, and a wide-open lower level, ready to finish for an additional cost.",Multi Family
IA,FOR_SALE,3.0,2.0,292000,2023,6098.0,1.24,"Introducing a stunning new construction home to the market!  This 3-Bedroom 2 Bath gem is designed with modern living in mind.  With a spacious open floor plan spanning 1,533 finished sq ft this house offers a perfect blend of comfort and style.  As you enter you will be greeted by the inviting living area showcasing the seamless flow between the living room, dining space & kitchen.  The open layout creates a warm & inclusive atmosphere, perfect for entertaining friends & family.  The kitchen is a true highlight, boasting a walk-in pantry that provides ample storage for all your culinary needs.  The master bedroom is a peaceful retreat, complete with an en-suite bathroom and a generous walk-in closet.  With two additional bedrooms, this home provides plenty of space for a growing family or for those in need of a home office or guest rooms.  The attached oversized 2-stall garage ensures convenient parking & storage.  Don't miss the opportunity to make this house your dream home.  Schedule a showing today and experience the perfect blend of modern design, functionality, & comfort! Westfield Clubhouse is currently under construction.  The main floor will include an entertaining area complete with a kitchen  for you to enjoy with your friends and family or neighborhood gatherings.  The basement will be used for storm shelter if needed.  Street assessments have been paid in full and as an added bonus there is a 5 year tax abatement.",Multi Family
IA,FOR_SALE,3.0,2.0,425000,2022,6969.0,1.0,"Hidden Oak’s offers luxury 3 bedroom 2 bath duplex residences with community amenities that appeal to both primary and secondary home owners. Enjoy hassle free ownership with HOA provided snow & lawn care, plus amenities including a future walking trail, clubhouse & pool. The Hidden Oaks community is a quiet neighborhood just off the beaten path, yet close to golfing, walking & biking trails, shopping, dining, public lake access, and other attractions. Built by Groen Construction these residences speak to quality with standard finishes including; 9’ walls, granite / quartz countertops, upgraded cabinets & included kitchen appliance package, premium flooring, solid core doors, Onyx shower w/ shower door, stabilized cellulose insulation, Malarky Shingles, Gerkin casement windows, and are “in-floor heat” ready. Schedule your tour to Hidden Oaks, choose from 3 interior and 3 exterior style options, customize your purchase to your wants, needs, and taste!",Multi Family
IA,FOR_SALE,3.0,2.0,275000,2022,6534.0,1.24,"Introducing a stunning new construction home to the market!  This 3-Bedroom 2 Bath gem is designed with modern living in mind.  With a spacious open floor plan spanning 1,533 finished sq ft this house offers a perfect blend of comfort and style.  As you enter you will be greeted by the inviting living area showcasing the seamless flow between the living room, dining space & kitchen.  The open layout creates a warm & inclusive atmosphere, perfect for entertaining friends & family.  The kitchen is a true highlight, boasting a walk-in pantry that provides ample storage for all your culinary needs.  The master bedroom is a peaceful retreat, complete with an en-suite bathroom and a generous walk-in closet.  With two additional bedrooms, this home provides plenty of space for a growing family or for those in need of a home office or guest rooms.  The attached oversized 2-stall garage ensures convenient parking & storage.  Don't miss the opportunity to make this house your dream home.  Schedule a showing today and experience the perfect blend of modern design, functionality, & comfort!  Westfield Clubhouse is currently under construction.  The main floor will include an entertaining area complete with a kitchen  for you to enjoy with your friends and family or neighborhood gatherings.  The basement will be used for storm shelter if needed.  Street assessments have been paid in full and as an added bonus there is a 5 year tax abatement.",Multi Family
IA,FOR_SALE,2.0,2.0,275000,2017,6098.0,1.31,"This well-maintained duplex offers spacious living with 2 bedrooms and 2 full bathrooms, perfect for comfortable living. Featuring an open floor plan, modern kitchen, and attached garage, this home provides both convenience and style. Enjoy the peaceful small-town atmosphere of Atkins while being just minutes away from Cedar Rapids. Ideal for first-time homebuyers or those looking to downsize. Don't miss out on this fantastic opportunity!",Multi Family
IA,FOR_SALE,3.0,2.0,275000,2022,6534.0,1.24,"Introducing a stunning new construction home to the market!  This 3-Bedroom 2 Bath gem is designed with modern living in mind.  With a spacious open floor plan spanning 1,533 finished sq ft this house offers a perfect blend of comfort and style.  As you enter you will be greeted by the inviting living area showcasing the seamless flow between the living room, dining space & kitchen.  The open layout creates a warm & inclusive atmosphere, perfect for entertaining friends & family.  The kitchen is a true highlight, boasting a walk-in pantry that provides ample storage for all your culinary needs.  The master bedroom is a peaceful retreat, complete with an en-suite bathroom and a generous walk-in closet.  With two additional bedrooms, this home provides plenty of space for a growing family or for those in need of a home office or guest rooms.  The attached oversized 2-stall garage ensures convenient parking & storage.  Don't miss the opportunity to make this house your dream home.  Schedule a showing today and experience the perfect blend of modern design, functionality, & comfort! Westfield Clubhouse is currently under construction.  The main floor will include an entertaining area complete with a kitchen  for you to enjoy with your friends and family or neighborhood gatherings.  The basement will be used for storm shelter if needed.  Street assessments have been paid in full and as an added bonus there is a 5 year tax abatement.",Multi Family
IA,FOR_SALE,2.0,2.0,404900,2024,,1.38,"This is a floor plan you can choose to build within this community. You'll work with the builder to select from the plan options on pre-determined lots to construct your dream home. Please note this plan comes in duplex or single-family options. Single-family homes have a $25,000 premium fee added to the price.

The Cedar Side Floor Plan:
Enjoy the comfortable fit of ""rightsizing"" without sacrificing on beautiful architectural detail. The openness of the great room sets the tone for the entire floor plan, which is intended to enhance the concept of single-story living. Each plan includes two bedrooms, two baths, a den and outdoor space. The owner's suite features walk-in closet and private bath. The Cedar Side is beloved for its elegance of design and richness of amenities. This home includes some signature features including access to the outdoor living space from the master bedroom, as well as being masterfully crafted for comfort and practical living. When you desire a home to over perform on style and comfort, choose a Cedar Side.

Features:
- Walk-in closet
- Open floor plan
- Contemporary style
- Outdoor space
- Ample storage
- Private planting bed",Multi Family
IA,FOR_SALE,2.0,2.0,404900,2024,,1.38,"This is a floor plan you can choose to build within this community. You'll work with the builder to select from the plan options on pre-determined lots to construct your dream home. Please note this plan comes in duplex or single-family options. Single-family homes have a $25,000 premium fee added to the price.

The Cedar Front Floor Plan:
Enjoy the comfortable fit of ""rightsizing"" without sacrificing on beautiful architectural detail. The openness of the great room sets the tone for the entire floor plan, which is intended to enhance the concept of single-story living. Each plan includes two bedrooms, two baths, a den and outdoor space. The owner's suite features walk-in closet and private bath. The Cedar Front is beloved for its elegance of design and richness of amenities. This home includes some signature features including access to the outdoor living space from the master bedroom, as well as being masterfully crafted for comfort and practical living. When you desire a home to over perform on style and comfort, choose a Cedar Front.

Features:
- Walk-in closet
- Open floor plan
- Contemporary style
- Outdoor space
- Ample storage
- Private planting bed",Multi Family
IA,FOR_SALE,2.0,2.0,392200,2024,,1.38,"This is a floor plan you can choose to build within this community. You'll work with the builder to select from the plan options on pre-determined lots to construct your dream home. Please note this plan comes in duplex or single-family options. Single-family homes have a $25,000 premium fee added to the price.

The Primrose Floor Plan:
Enjoy the comfortable fit of ""rightsizing"" without sacrificing on beautiful architectural detail. The openness of the great room sets the tone for the entire floor plan, which is intended to enhance the concept of single-story living. Each plan includes two bedrooms, two baths, a den and outdoor space. The owner's suite features walk-in closet and private bath. The Primrose is a sensible home and designed to optimize living and storage space. The efficiency of this home is matched by its sleek, contemporary style complete with open floor plan and spacious master bedroom. When you need an inviting and manageable home for an active and modern lifestyle, the Primrose is an intelligent choice. When it comes to living well, the Primrose is the highest performing, most efficient house you will find in the marketplace. The home is packed with a wealth of standard features while offering plenty of options for customization. From every angle, top to bottom, the Primrose is designed to enhance the way you live.

Features:
- Walk-in closet
- Open floor plan
- Contemporary style
- Outdoor space
- Ample storage
- Private planting bed",Multi Family
IA,FOR_SALE,3.0,2.0,415000,2022,6969.0,1.0,"Hidden Oak’s offers luxury 3 bedroom 2 bath duplex residences with community amenities that appeal to both primary and secondary home owners. Enjoy hassle free ownership with HOA provided snow & lawn care, plus amenities including a future walking trail, clubhouse & pool. The Hidden Oaks community is a quiet neighborhood just off the beaten path, yet close to golfing, walking & biking trails, shopping, dining, public lake access, and other attractions. Built by Groen Construction these residences speak to quality with standard finishes including; 9’ walls, granite / quartz countertops, upgraded cabinets & included kitchen appliance package, premium flooring, solid core doors, Onyx shower w/ shower door, stabilized cellulose insulation, Malarky Shingles, Gerkin casement windows, and are “in-floor heat” ready. Schedule your tour to Hidden Oaks, choose from 3 interior and 3 exterior style options, customize your purchase to your wants, needs, and taste!",Multi Family
IA,FOR_SALE,3.0,3.0,299900,2024,,1.67,"The Front Load 2-Story plan greets you with 11' entry trail ceilings and transom window, leading you to the huge living area and open kitchen. The walk-in pantry and mudroom bench is sure to please. Enjoy the spacious 3 bedrooms and primary suite with walk-in closet, tiled shower, and double vanity. The massive lower level is ready to finish for an additional cost.",Multi Family
IA,FOR_SALE,2.0,2.0,410000,2024,,1.38,"This is a floor plan you can choose to build within this community. You'll work with the builder to select from the plan options on pre-determined lots to construct your dream home. Please note this plan comes in duplex or single-family options. Single-family homes have a $25,000 premium fee added to the price.

The Bluestem Floor Plan:
Enjoy the comfortable fit of ""rightsizing"" without sacrificing on beautiful architectural detail. The openness of the great room sets the tone for the entire floor plan, which is intended to enhance the concept of single-story living. Each plan includes two bedrooms, two baths, a den and outdoor space. The owner's suite features walk-in closet and private bath. The Bluestem provides a quality-rich home with an abundance of well-designed space. Enjoy the subtle luxuries like a pantry and access to the patio from the main living space and master bedroom. Cook and dine comfortably with a large kitchen and dining area and retreat to the private den to work or play. When you are looking for a home that feels grand and modern, look no further than the Bluestem.

Features:
- Walk-in closet
- Open floor plan
- Contemporary style
- Outdoor space
- Ample storage
- Private planting bed",Multi Family
IA,FOR_SALE,3.0,2.0,275000,2022,6098.0,1.24,"Introducing a stunning new construction home to the market!  This 3-Bedroom 2 Bath gem is designed with modern living in mind.  With a spacious open floor plan spanning 1,533 finished sq ft this house offers a perfect blend of comfort and style.  As you enter you will be greeted by the inviting living area showcasing the seamless flow between the living room, dining space & kitchen.  The open layout creates a warm & inclusive atmosphere, perfect for entertaining friends & family.  The kitchen is a true highlight, boasting a walk-in pantry that provides ample storage for all your culinary needs.  The master bedroom is a peaceful retreat, complete with an en-suite bathroom and a generous walk-in closet.  With two additional bedrooms, this home provides plenty of space for a growing family or for those in need of a home office or guest rooms.  The attached oversized 2-stall garage ensures convenient parking & storage.  Don't miss the opportunity to make this house your dream home.  Schedule a showing today and experience the perfect blend of modern design, functionality, & comfort!  Westfield Clubhouse is currently under construction.  The main floor will include an entertaining area complete with a kitchen  for you to enjoy with your friends and family or neighborhood gatherings.  The basement will be used for storm shelter if needed.  Street assessments have been paid in full and as an added bonus there is a 5 year tax abatement.",Multi Family
IA,FOR_SALE,3.0,3.0,339900,2024,5200.0,1.67,Front Load,Multi Family
IA,FOR_SALE,2.0,1.0,225000,2023,21300.0,1.27,"NEW CONSTRUCTION! A clean, impressive duplex unit - an attached single-car garage. Spacious open concept living/kitchen area with 2 bedrooms and 1 bath. Granite countertops and impressive cabinets highlight finishes throughout the units.  In-unit laundry and plenty of storage options are added bonuses.  Outside amenities include a concrete patio and large back yard. Region XII funding may be available to assist in purchasing the property.",Multi Family
IA,FOR_SALE,2.0,2.0,419900,2024,,1.38,"The Aster Floor Plan:
This plan comes in duplex or single-family options. Single-family homes have a $25,000 premium fee added to the price. Enjoy the luxurious fit of ""rightsizing"" without sacrificing on beautiful architectural detail. The openness of the great room sets the tone for the entire floor plan, which is intended to enhance the concept of single-story living. Each plan includes two bedrooms, two baths, a den and outdoor space. The owner's suite features walk-in closet and private bath. The Aster brings your dream of a comfortable, exciting, and versatile home to life. From relaxing on the weekends to entertaining your closest friends and family, your lifestyle will never feel as natural, well-equipped, and stress-free as it will from living in an Aster. When you live in an Aster, the possibilities are endless: transform your third room into a home theater or enjoy the comforts of a private den. Maximize your comfort with extended open living space. Prepare delicious meals in a quality kitchen complete with breakfast bar. Spend time outside on your private patio and plant or garden or flowers in your private raised planting bed. We carefully designed the Aster to satisfy the highest of home standards and lifestyle desires. That is why the Aster is the beloved home of many who accept nothing short of excellence and cherish immaculate attention to detail.

Features:
Walk-in closet
Open floor plan
Contemporary style
Outdoor space
Ample storage
Private planting bed",Multi Family
IA,FOR_SALE,3.0,2.0,425000,2022,6969.0,1.0,"Hidden Oak’s offers luxury 3 bedroom 2 bath duplex residences with community amenities that appeal to both primary and secondary home owners. Enjoy hassle free ownership with HOA provided snow & lawn care, plus amenities including a future walking trail, clubhouse & pool. The Hidden Oaks community is a quiet neighborhood just off the beaten path, yet close to golfing, walking & biking trails, shopping, dining, public lake access, and other attractions. Built by Groen Construction these residences speak to quality with standard finishes including; 9’ walls, granite / quartz countertops, upgraded cabinets & included kitchen appliance package, premium flooring, solid core doors, Onyx shower w/ shower door, stabilized cellulose insulation, Malarky Shingles, Gerkin casement windows, and are “in-floor heat” ready. Schedule your tour to Hidden Oaks, choose from 3 interior and 3 exterior style options, customize your purchase to your wants, needs, and taste!",Multi Family
IA,FOR_SALE,3.0,2.0,389500,2022,13068.0,1.0,"Just envision yourself living in this stunning retreat! Right on the golf course, the pond in the backyard invites you to come live at The Dwellings. The sellers have meticulously crafted this duplex into an upscale oasis with three bedrooms, two bathrooms, double car garage, and all just a few years old. You'll undoubtedly want to see this one and call it home, ready for you to move in.",Multi Family
IA,FOR_SALE,12.0,4.0,675000,2019,88426.0,1.2,"Wonderful investment opportunity!  Well-designed, quality-constructed, South-facing four-plex, each unit with 3 BR's, 2 BA's, patio, attached heated garage, & full set of appliances.  Fully occupied.  Parcel will accommodate another mirror-image building and/or multiple other structures.  Seller will enter into a transaction subject to the tenant leases and for closing after 06/21/23.",Multi Family
IA,FOR_SALE,3.0,2.0,275000,2022,6534.0,1.24,"Introducing a stunning new construction home to the market!  This 3-Bedroom 2 Bath gem is designed with modern living in mind.  With a spacious open floor plan spanning 1,533 finished sq ft this house offers a perfect blend of comfort and style.  As you enter you will be greeted by the inviting living area showcasing the seamless flow between the living room, dining space & kitchen.  The open layout creates a warm & inclusive atmosphere, perfect for entertaining friends & family.  The kitchen is a true highlight, boasting a walk-in pantry that provides ample storage for all your culinary needs.  The master bedroom is a peaceful retreat, complete with an en-suite bathroom and a generous walk-in closet.  With two additional bedrooms, this home provides plenty of space for a growing family or for those in need of a home office or guest rooms.  The attached oversized 2-stall garage ensures convenient parking & storage.  Don't miss the opportunity to make this house your dream home.  Schedule a showing today and experience the perfect blend of modern design, functionality, & comfort!  Westfield Clubhouse is currently under construction.  The main floor will include an entertaining area complete with a kitchen  for you to enjoy with your friends and family or neighborhood gatherings.  The basement will be used for storm shelter if needed.  There is also a big savings on your annual taxes with the $75,000 - 5-year tax abatement.",Multi Family
IA,FOR_SALE,6.0,6.0,445000,2016,15049.0,1.38,"This is the INVESTMENT OPPORTUNITY you've been looking for!  With a great incoming income, located in a prime Parkersburg neighborhood with views of the beautiful golf course.  Each side boasts 3 bedrooms, 3 bathrooms, and plenty of living space, complete with modern, quality finishes and appliances.  The outdoor space is ready for entertaining and relaxing, with a deck on each side and ample yard space. Both sides fully leased through 6/1/2025 ~ A great investment for lucrative income!",Multi Family
